THETA1,THETA2,THETA3,THETA4,THETA5,THETA6,THETA7,THETA8,THETA9,OMEGA11,OMEGA21,OMEGA22,OMEGA31,OMEGA32,OMEGA33,OMEGA41,OMEGA42,OMEGA43,OMEGA44,SIGMA11
13.77,11.98,20.76,11.5,-0.004127,0.402,0.04303,0.0799,0.5099,0.09066,0.02278,0.142,-0.003202,-0.002852,0.1063,0.01751,0.01449,0.001204,0.07542,0
14.99,10.53,15.97,13.52,-0.6173,0.9018,0.09188,0.1669,0.6353,0.1144,0.02429,0.1133,0.02489,0.007382,0.1216,-0.01059,-0.02812,-0.001249,0.1164,0
14.37,8.718,17.38,9.852,0.06184,1.566,0.04071,0.7697,0.9887,0.09034,0.0189,0.09337,0.028,0.02697,0.1097,0.003661,-0.003856,-0.008881,0.05372,0
16.13,10.29,18.53,11.39,-0.06182,0.2823,0.000355,0.5527,0.4147,0.08026,0.001575,0.1188,0.000486,0.009502,0.09286,0.01637,-0.01311,-0.004494,0.06886,0
14.82,11.36,15.58,12.92,-0.2111,1.745,0.02401,0.6161,0.1917,0.1161,0.01279,0.1124,-0.008413,-0.02678,0.1164,-0.01648,-0.003043,0.007788,0.07389,0
13.69,11.4,19.43,13.01,-0.6493,0.1755,0.006348,-0.5462,0.3015,0.09415,-0.004058,0.1352,0.007315,0.001705,0.1091,-0.03293,0.001094,-0.002678,0.09666,0
14.47,9.387,19.53,10.91,-0.7348,1.053,0.0755,0.4944,1.21,0.09404,0.004874,0.1393,0.006169,-0.03237,0.09944,6.6e-05,-0.01277,0.006753,0.09921,0
15.35,10.27,21.3,11.47,0.2789,1.599,0.05219,0.081,0.638,0.06684,0.008483,0.09163,0.000631,-0.01008,0.1209,-0.002892,0.002445,-0.005609,0.07796,0
15.6,10.62,16.46,11.1,-0.09877,0.2981,0.002523,0.5436,0.8182,0.07256,-0.004212,0.1061,0.000823,0.003012,0.1074,0.002446,-0.006096,0.002154,0.07808,0
14.55,10.54,19.25,11.57,-0.7991,1.691,0.01321,-0.01608,0.1896,0.08588,0.01336,0.1229,-0.008403,0.01341,0.104,-0.02337,-0.02294,-0.005768,0.1126,0
14.36,11.53,18.38,11.74,-0.1491,1.457,0.04954,0.6039,1.175,0.08859,-0.000225,0.08463,-0.007408,0.005772,0.09461,-0.001622,0.006584,0.003357,0.08332,0
14.76,10.73,16.68,12.43,-0.66,0.6252,0.0647,0.4537,0.6044,0.09716,-0.03101,0.1113,-0.001418,0.01171,0.1374,-0.001365,-0.004579,-0.01046,0.07916,0
13.99,11.39,21.45,11.93,-0.289,2.192,0.02551,-0.4579,0.7021,0.08722,-0.01203,0.09449,0.007876,0.004692,0.08822,0.004954,-0.002248,0.00359,0.06473,0
15.59,10.46,15.17,14.13,-0.4504,-0.02382,0.08741,0.8202,0.6127,0.08147,0.007303,0.1332,-0.0243,-0.006377,0.1374,-0.004904,0.007502,-0.01843,0.07661,0
14.1,10.13,20.54,11.45,-0.2254,0.572,0.000337,0.08927,0.3652,0.1148,0.001589,0.1046,-0.01844,-0.007212,0.1019,0.02013,-0.004012,-0.004032,0.07233,0
14.54,11.68,17.69,14.17,-0.03365,1.75,0.03674,-1.097,0.5688,0.1067,0.01048,0.1015,0.003521,0.0105,0.09847,0.01202,-0.002638,-0.003327,0.08014,0
15.58,7.918,18.82,12.99,-0.1649,0.5646,0.01889,0.4098,0.9935,0.1008,0.01852,0.09458,-0.02467,-0.01392,0.114,0.006,-0.001556,-0.005638,0.05809,0
13.12,8.805,19.18,11.88,0.01194,1.431,0.0312,-0.2789,0.6436,0.09764,-0.002479,0.0909,0.01131,0.001096,0.1149,0.00306,0.005036,-0.01894,0.06494,0
16.14,8.419,16.73,12.73,0.3979,1.156,0.05358,0.6433,0.8334,0.09835,0.003486,0.1161,-0.01932,0.009389,0.1112,-0.002519,-0.01031,-0.003374,0.07264,0
14.5,11.88,19.86,8.954,-1.269,1.579,0.0289,0.09293,0.2347,0.07423,-0.004586,0.1404,-5.7e-05,0.03497,0.1251,-0.002921,-0.01428,0.006758,0.08265,0
12.55,9.059,17.68,13,-0.1221,2.079,0.07007,-0.1035,0.9489,0.09737,0.02085,0.08983,0.004268,0.008293,0.08723,0.01085,0.01856,-0.003458,0.08862,0
14.73,11.74,16.89,11.75,-0.08246,0.5862,0.03299,-0.1588,0.6733,0.0866,-0.006092,0.09752,-0.000483,0.001933,0.1013,0.00142,0.000274,-0.01214,0.06652,0
15.05,10.51,17.6,12.5,-0.5141,0.895,0.04996,0.4957,0.2755,0.07561,-0.006394,0.1073,0.002068,0.01359,0.1092,0.007827,-0.01069,0.007474,0.08173,0
14.37,9.294,19.82,11.28,-0.377,0.0835,0.03512,0.9765,0.6784,0.1226,-0.02206,0.1225,0.005916,0.004385,0.1159,0.01358,0.01113,0.01029,0.06203,0
15.7,11.35,14.81,12.05,-0.2253,1.817,0.0626,0.2107,0.6414,0.07724,-0.01968,0.1709,-0.03501,0.01654,0.1314,0.01981,-0.0225,0.008735,0.08644,0
13.06,9.952,20.2,11.71,-0.3071,0.5044,0.04499,0.3048,0.618,0.08268,0.02267,0.1171,0.0283,0.02416,0.1387,0.003035,-0.01404,0.003759,0.06074,0
13.31,12.05,22.41,14.55,0.2859,1.194,0.05304,-0.2815,0.3518,0.1133,0.01457,0.09945,-0.008058,0.01204,0.1025,0.01055,-0.01087,0.01619,0.08939,0
14.22,11.08,16.92,13.07,-0.7059,0.7148,0.06541,0.1896,0.626,0.08738,0.001059,0.08847,0.0162,0.01231,0.08642,0.004386,0.006083,0.001332,0.07602,0
14.47,11.56,18.27,13.62,-0.5117,0.8638,-0.02692,2.001,0.8717,0.1137,0.0113,0.08945,-0.005604,-0.02382,0.1199,-0.001388,0.00386,0.01,0.0641,0
14.57,8.998,16.64,13.25,0.0404,1.487,0.06825,-0.3643,0.4986,0.07335,0.01393,0.1374,0.02178,-0.01739,0.1619,-0.00296,0.008377,0.01336,0.09942,0
13.65,11.03,19.56,12.44,-0.8178,0.4781,0.03091,0.4494,0.6536,0.0707,-0.004922,0.1099,-0.00716,0.00925,0.11,-0.003529,-0.001958,-0.000164,0.07894,0
14.86,10.14,20.22,13.49,-0.8327,0.9862,0.04683,0.1055,0.1384,0.06322,-0.003826,0.1198,-0.005695,-0.02242,0.1326,0.000565,0.005206,0.01667,0.05691,0
15.1,10.18,19.76,12.71,-0.06694,1.199,0.06053,0.2407,-0.2924,0.09983,0.01376,0.1299,-0.01202,-0.004538,0.0927,-0.008547,0.006062,-0.01321,0.07249,0
14.28,10.7,20.33,10.28,-0.766,1.702,0.0255,1.183,0.2799,0.104,0.005632,0.124,0.002236,-0.008529,0.1031,-0.02998,0.006346,0.002517,0.1024,0
14.47,9.538,17.42,10.92,-0.6132,1.142,0.07629,0.3884,0.8726,0.1046,-0.01764,0.09205,-0.001394,-0.009495,0.1089,-0.01232,0.00791,-0.01431,0.07491,0
14.56,9.742,21.37,14.17,-1.216,0.3233,0.04178,0.3111,0.4089,0.1102,-0.02357,0.09827,0.001164,0.01772,0.1121,0.03176,0.000969,0.007981,0.109,0
14.58,9.422,21.47,11.87,-0.207,0.9905,0.04985,0.07367,1.211,0.1043,0.01505,0.08832,-0.01069,-0.003543,0.09955,-0.008344,-0.008349,-0.01526,0.08128,0
13.53,11.3,17.59,12.24,-0.1332,1.176,0.013,-0.5531,0.03582,0.0915,0.000198,0.1509,-0.005644,-0.01147,0.101,-0.002135,-0.009601,-0.000195,0.08352,0
14.15,11.73,19.32,12.46,0.05667,-0.0562,0.02388,0.6396,0.6516,0.07656,-0.01368,0.114,-0.009311,0.02045,0.1318,-0.000772,-0.004514,-0.01233,0.06282,0
15.58,11.17,22.06,11.79,0.3985,1.019,0.02897,0.1735,0.6921,0.1085,0.003809,0.1019,0.001761,-0.005234,0.1198,-0.00463,-0.01403,0.01124,0.07844,0
14.64,11.83,22.27,11.55,-0.04387,-0.07336,0.0587,-0.2454,0.7882,0.0715,-0.0112,0.0841,-0.01226,-0.001669,0.1442,-0.00749,-0.007555,-0.008979,0.07244,0
13.95,8.586,16.19,12.71,-0.6386,1.061,0.02263,0.4964,0.2301,0.08416,-0.006541,0.09939,-0.007768,-0.01428,0.1259,-0.00364,-0.01676,0.005505,0.07712,0
16.7,11.37,17.93,11.97,-0.4104,0.4084,0.03666,0.1407,0.4128,0.1076,0.01332,0.08176,-0.001427,0.005572,0.1066,0.001473,0.02204,0.004746,0.07118,0
14.64,11.28,20.57,12.7,0.4154,0.6741,0.02266,0.4397,0.857,0.08565,0.002468,0.09651,-0.01048,0.01393,0.1591,-0.001816,0.01436,0.01579,0.07509,0
15.2,11.2,19.38,15.01,0.2631,0.6741,0.01822,-0.3684,0.9091,0.099,-0.01763,0.126,-0.01459,0.0021,0.0913,-0.006452,-0.008574,-0.01343,0.06444,0
15.52,12.34,18.76,12.88,-0.738,0.2185,0.09877,-0.2544,0.6803,0.08358,-0.008533,0.1286,0.00328,0.01256,0.1042,-0.00415,0.01102,-0.01255,0.07649,0
15.51,8.281,16.37,13.73,0.04425,0.5952,-0.01277,0.1396,1.151,0.09367,0.01447,0.09523,0.003669,-0.003492,0.1009,-0.01498,-0.01249,0.008014,0.07107,0
15.09,10.89,19.1,13.44,-0.5527,1.204,0.03076,-0.09972,0.3958,0.0931,-0.005595,0.07961,-0.0219,0.006951,0.1164,-0.000544,-0.003962,0.01163,0.08453,0
16.13,10.5,19.19,13.28,-0.2338,1.177,0.03668,-0.2611,0.8251,0.08322,-0.01552,0.08916,0.01225,-0.00337,0.1277,0.007259,-0.00654,0.02419,0.07322,0
13.11,12.63,16.69,13.11,-0.8275,1.301,0.07155,0.3034,0.6766,0.08747,-0.01232,0.08442,0.003852,-0.005299,0.08317,-0.01332,-0.01178,0.0116,0.09097,0
16.04,10.57,19.11,10.07,-0.6127,1.241,0.03513,0.3002,1.398,0.09593,-0.003233,0.1089,0.004895,0.000739,0.08606,0.004967,0.01429,0.008096,0.06251,0
16.14,10.43,19.55,13,-0.5097,0.9738,0.04261,0.1177,1.104,0.1226,-0.007757,0.1384,0.01828,0.002721,0.1106,-0.003956,0.01476,0.007198,0.08362,0
14.08,9.44,19.62,12.93,-0.9673,0.2437,0.07841,0.4641,0.4323,0.09551,-0.01243,0.1109,0.000716,0.01286,0.09355,-0.005322,-0.002394,-0.01858,0.07657,0
15.55,8.887,20.11,12.03,-0.5926,0.9813,0.02475,0.8453,0.7085,0.06747,-0.004886,0.1118,-0.007119,-0.01361,0.1402,-0.003306,-0.01235,0.004779,0.07228,0
13.67,11.68,18.96,11.64,-0.3098,1.364,0.05341,0.3918,0.4203,0.08474,-0.009421,0.07781,0.002818,0.002286,0.1117,0.01683,-0.008772,-0.009903,0.08659,0
14.35,9.257,18,11.44,-0.5436,1.577,0.02541,0.1352,0.8101,0.1045,0.01338,0.09495,0.003445,-0.002996,0.09036,-0.007716,-0.005566,-0.004354,0.08393,0
11.77,11.89,19.94,13,-0.956,0.916,0.05816,0.03112,1.005,0.08138,-0.01739,0.08966,-0.008307,-0.004953,0.1099,0.007717,-0.000775,-0.01444,0.07417,0
13.63,10.43,18.35,13.22,-0.6957,0.9497,0.05588,0.2759,1.087,0.09723,0.004036,0.08229,0.02005,-0.005319,0.1234,-0.03177,-0.002178,-0.03425,0.08285,0
15.24,11.13,18.09,11.99,-0.1476,0.3785,0.04649,0.487,0.6975,0.1049,0.004519,0.09076,-0.0109,-0.003181,0.1192,-0.009207,-0.009971,0.002871,0.06388,0
14.03,10.93,13.76,13.25,-0.8133,2.326,0.04446,-0.4038,0.3386,0.1051,-0.01318,0.122,-0.0166,-0.003288,0.111,0.01438,0.01405,-0.004208,0.07608,0
12.61,9.871,18.68,14.83,-1.159,1.114,0.04569,0.5582,1.39,0.09792,-0.009069,0.09473,0.02485,0.001898,0.1258,-0.01617,-0.006595,-0.02324,0.09035,0
14.54,10.53,19.16,11.64,-1.116,1.087,0.03937,0.8712,1.008,0.1086,0.0138,0.1137,-0.01046,-0.000853,0.1112,-0.000661,-0.005353,0.00707,0.06153,0
13.97,12.06,17.71,14.53,-0.1705,0.8378,-0.01024,0.4681,0.579,0.1246,0.004215,0.1163,0.01713,-0.01071,0.1098,0.008125,0.01641,-0.001801,0.0677,0
14.83,12.75,17.81,12.34,-1.119,1.227,0.00455,0.2144,0.5504,0.1052,-0.01364,0.1017,-0.01681,-0.01018,0.09542,-0.000278,-0.005145,0.01825,0.09128,0
14.15,11.28,18.09,12.38,-0.5962,1.632,0.03098,0.5106,0.254,0.1464,0.01714,0.09061,0.01097,0.01062,0.09201,-0.003572,0.003109,0.006916,0.05742,0
15.14,11.67,17.88,12.33,-0.921,1.412,0.02334,0.4372,0.9621,0.0948,-0.0238,0.1184,-0.01821,-0.01414,0.1354,-0.009036,0.007509,0.002273,0.06718,0
15.65,11.04,16.2,11.66,-0.3671,0.1437,0.07259,0.69,1.048,0.07898,-0.01637,0.1277,-0.00708,-0.0118,0.1378,-0.005524,-0.01101,0.01963,0.08401,0
14.56,12.94,18.28,11.41,0.3487,-0.4422,0.05615,1.007,0.5885,0.08696,-0.001811,0.1115,0.01784,0.0153,0.1475,0.004589,-0.02615,-0.01427,0.07834,0
14.46,14.35,22.51,12.11,-0.2498,0.7994,0.04139,0.6159,0.7113,0.1073,-0.002658,0.09479,-0.02549,0.00271,0.09975,-0.001278,0.007589,0.001195,0.0771,0
13.11,12.16,21.35,12.15,-0.6534,0.5643,0.01755,-0.05096,0.7462,0.09572,-0.01419,0.1206,0.01591,-0.002668,0.1041,-0.01109,-0.02101,-0.02576,0.09596,0
13.94,11.91,21.07,12.69,-0.4506,1.543,0.003705,0.5688,1.042,0.126,-0.009788,0.1027,-0.01163,0.02232,0.1156,0.006547,0.006101,-0.002495,0.06735,0
13.78,8.277,20.35,11.44,-0.4082,0.7132,0.0493,0.2936,0.7563,0.09027,-0.002865,0.1102,0.000196,0.001386,0.126,-0.003263,-0.0151,0.00528,0.0611,0
16.74,11.1,19.16,11.4,-0.2241,1.437,0.05516,0.1663,1.145,0.1198,0.01062,0.0996,-0.01943,0.01071,0.1199,-0.01035,0.001299,0.01739,0.07214,0
15.18,10.94,22.11,12.23,-0.6594,1.137,0.04696,0.385,0.8877,0.08387,-0.000244,0.09441,0.001659,-0.01612,0.1246,-0.006283,0.009999,-0.01188,0.08085,0
13.32,10.96,19.78,12.07,-1.1,0.3988,0.06037,0.5187,0.3194,0.08305,0.01439,0.09479,0.000657,-0.007151,0.1009,-0.001662,-0.01319,-0.01342,0.08083,0
15.68,9.586,21.44,13,-0.4381,0.1785,0.03212,-0.1685,0.7266,0.1118,-0.01384,0.09289,-0.01947,0.002344,0.1092,-0.005908,-1.4e-05,0.005745,0.0882,0
14.35,13.98,19.05,14.92,-0.737,1.391,0.02541,0.3872,0.2179,0.114,-0.02646,0.1322,0.01045,-0.02567,0.1404,0.01278,-0.02224,-0.00642,0.07401,0
15.03,10.13,18.56,12.63,-0.3109,1.03,0.02241,0.15,0.4897,0.07537,0.00527,0.09974,-0.01866,-0.01601,0.1246,-0.006459,0.00538,0.01495,0.05597,0
13.86,11.86,21.84,14.45,-0.3776,0.08903,0.06831,0.3987,0.7258,0.07282,0.01149,0.1374,-0.002806,0.006176,0.09844,0.008263,-0.02207,-0.001836,0.06296,0
15.52,9.916,16.95,12.86,-0.5634,2.008,0.04345,-0.2457,0.6786,0.121,0.02684,0.1099,0.007619,0.007381,0.1332,-0.006165,-0.01046,-0.02341,0.1093,0
15.45,11.55,20.36,12.46,-0.3704,0.4813,0.01598,0.04892,0.443,0.08546,-0.008931,0.1036,-0.01593,0.01683,0.09802,-9e-04,-0.004358,-0.001652,0.09198,0
14.19,9.178,16.62,13.84,-0.4752,0.8349,-0.04585,-0.3744,0.2705,0.09317,-0.003979,0.09666,-0.01297,0.02891,0.1032,0.01865,0.0189,0.005474,0.07168,0
16.29,10.32,17.2,10.28,-0.5138,0.8427,0.02892,0.1088,1.454,0.1271,0.02768,0.08,-0.02957,0.000581,0.1234,0.02181,0.002162,-0.01468,0.065,0
14.26,11.61,18.63,10.42,-0.9554,0.9314,0.02632,-0.376,-0.04196,0.08232,-0.00443,0.07628,-0.009547,-0.002428,0.1071,-0.0052,-0.001253,-0.003006,0.08975,0
15.3,11.71,19.44,10.27,-0.6333,1.289,0.06329,0.4057,0.6829,0.1043,-0.002866,0.09743,-0.005715,-0.000898,0.121,0.01368,-0.01267,-0.02575,0.08061,0
16.1,12.05,18.35,11.47,-0.0451,0.817,0.005721,0.5248,0.6881,0.09019,0.002414,0.09771,-0.009924,0.004022,0.1014,-0.002362,0.01087,-0.001823,0.07296,0
14.64,9.545,19.65,13.11,-0.9427,1.585,0.02302,-0.477,0.7272,0.1015,-0.009032,0.1241,0.000796,-0.0212,0.1403,-0.01451,0.02275,-0.01118,0.05541,0
15.91,9.796,16.64,12.79,-0.7295,0.7381,0.05147,0.01843,0.3775,0.1077,0.02567,0.1253,0.007941,0.01657,0.08853,-0.01046,-0.006221,0.001223,0.07618,0
14.55,11.28,22.51,11.1,-0.6887,0.9703,0.04752,0.4571,0.5801,0.08476,0.002774,0.1086,0.005344,0.0288,0.1282,-0.009424,-0.008553,0.01292,0.07939,0
14.36,10.57,21.28,12.09,-0.9978,1.028,0.01389,-0.1539,-0.006613,0.09471,0.00247,0.08525,0.005496,-0.01557,0.1106,0.01133,0.01097,-0.007579,0.08358,0
16.8,11.15,17.95,9.393,-0.6429,0.6485,0.0102,0.1656,0.3662,0.09923,-0.01866,0.09276,0.004808,-0.008433,0.09804,-0.006904,0.01238,0.008686,0.07482,0
14.88,8.599,17.41,12.53,0.2122,1.081,0.06568,0.07927,0.7708,0.07945,0.000335,0.1193,-0.002483,0.01072,0.08959,-0.005467,-0.02516,-0.003226,0.0687,0
16.37,10.17,17.95,12.13,0.09423,1.687,-0.006349,-0.1432,0.4162,0.1665,-0.03264,0.1251,0.005932,-0.02168,0.1203,-0.02154,0.002463,0.003197,0.05646,0
15.23,10.99,19.82,11.77,-0.2393,1.828,0.04857,0.5854,0.01005,0.09852,-0.00187,0.09946,0.005637,0.009763,0.09676,0.003351,-0.000107,0.007656,0.1124,0
13.58,9.798,17.82,14.59,-1.02,0.7031,0.006802,-0.1501,0.4748,0.09716,0.002959,0.06973,-0.01526,0.007839,0.08996,0.01072,0.000243,-0.01415,0.07921,0
14.35,10.55,17.58,10.27,-0.1726,1.037,0.006317,0.2401,0.5592,0.1017,0.009597,0.0954,0.000297,-0.003251,0.09967,-0.01312,0.008663,0.00396,0.05997,0
15.61,13.05,18.78,13.6,-0.9035,0.3194,0.01066,-0.5673,0.7462,0.08259,0.01024,0.08996,0.01134,0.01594,0.1272,0.000327,-0.003355,-0.02159,0.06802,0
13.51,11.93,19.34,12.58,-0.5342,0.4353,0.07143,0.3401,0.5223,0.06835,0.007288,0.1278,-0.01102,-0.01576,0.101,0.01122,0.01375,0.01249,0.08124,0
15.31,11.99,18.69,11.82,0.01634,1.491,0.02939,0.2171,0.8619,0.08726,0.004769,0.09382,-0.01111,0.01626,0.1078,-0.0109,0.002953,-0.006716,0.08981,0
15.81,11.03,18.4,13.89,-0.3706,1.622,0.05571,-0.0609,0.4964,0.09422,0.003985,0.09929,0.00119,0.007623,0.1206,-0.01805,0.002884,0.01314,0.0596,0
14.2,11.29,17.73,10.69,-0.335,1.545,0.06325,0.04818,0.6582,0.07766,0.002913,0.09508,0.007805,-0.007758,0.08371,0.009539,0.006143,0.01749,0.05776,0
15.48,9.929,18.79,12.58,-0.8082,1.418,0.03969,-0.286,0.4816,0.1105,-0.01382,0.09173,-0.001523,-0.003786,0.1037,0.005993,-0.008657,0.009507,0.08091,0
15.14,9.984,21.76,14.8,-0.3353,1.044,0.06658,0.4659,0.3577,0.08413,-0.01064,0.08826,-0.01322,-0.005728,0.1058,0.01952,-0.009353,-0.004783,0.07881,0
14.96,10,18.92,10.75,-0.312,0.4433,-0.02016,-0.01968,-0.03845,0.09162,0.001232,0.1008,-0.01032,0.000206,0.1012,-0.00185,-0.003676,0.0101,0.08068,0
13.98,10.03,19.3,13.55,-0.4643,0.6,0.033,-0.0622,0.8987,0.08376,-0.000884,0.08335,0.000164,-0.01465,0.09574,0.002034,-0.003809,0.005596,0.06848,0
15.35,12.18,18.17,13.25,0.3329,0.3552,0.02946,1.079,0.7883,0.08802,0.002041,0.0672,-0.01158,0.01127,0.1627,0.001796,0.01753,0.004061,0.09378,0
13.36,11.36,15.14,11.1,-0.1368,0.3478,0.0738,-0.1212,0.8156,0.107,0.01103,0.09222,0.02146,-0.01243,0.1272,-0.002486,-0.004097,-0.0019,0.07024,0
14.02,9.59,17.54,13.16,0.307,1.644,0.04778,0.6204,0.8642,0.07789,-0.01145,0.0981,0.001135,-0.01416,0.1105,0.002994,-0.01542,-0.00792,0.08195,0
